Vivado Simulator 2018.2
Time resolution is 1 ps
                   0A= 1 B= 1 aluop=0000 binary alures=00000001 alures=  1 OF=x, ZF=0
                  10A= 0 B= 1 aluop=0001 binary alures=00000001 alures=  1 OF=x, ZF=0
                  20A= 1 B= 0 aluop=0010 binary alures=00000001 alures=  1 OF=x, ZF=0
                  30A= 1 B= 1 aluop=0011 binary alures=00001110 alures= 14 OF=x, ZF=0
                  40A= 1 B= 0 aluop=0100 binary alures=00001110 alures= 14 OF=x, ZF=0
                  50A=15 B= 1 aluop=0101 binary alures=00001110 alures= 14 OF=x, ZF=0
                  60A= 7 B= 1 aluop=0110 binary alures=00000011 alures=  3 OF=x, ZF=0
                  70A= 9 B= 1 aluop=0111 binary alures=00000100 alures=  4 OF=x, ZF=0
                  80A= 4 B= 7 aluop=1000 binary alures=00011100 alures= 28 OF=x, ZF=0
                  90A=14 B=12 aluop=1001 binary alures=00011000 alures= 24 OF=x, ZF=0
                 100A= 6 B=12 aluop=1001 binary alures=10011000 alures=152 OF=x, ZF=0
                 110A=15 B=15 aluop=1010 binary alures=00001110 alures= 14 OF=0, ZF=0
                 120A= 7 B= 7 aluop=1010 binary alures=00001110 alures= 14 OF=1, ZF=0
                 130A= 1 B= 1 aluop=1010 binary alures=00000010 alures=  2 OF=0, ZF=0
                 140A=15 B=15 aluop=1010 binary alures=00001110 alures= 14 OF=0, ZF=0
                 150A= 7 B= 7 aluop=1010 binary alures=00001110 alures= 14 OF=1, ZF=0
                 160A= 7 B= 3 aluop=1100 binary alures=00000100 alures=  4 OF=0, ZF=0
                 170A=15 B= 7 aluop=1100 binary alures=00001000 alures=  8 OF=0, ZF=0
                 180A=15 B=15 aluop=1101 binary alures=00000000 alures=  0 OF=0, ZF=1
                 190A= 7 B= 3 aluop=1101 binary alures=00000100 alures=  4 OF=0, ZF=0
                 200A=12 B= 4 aluop=1110 binary alures=00000001 alures=  1 OF=0, ZF=0
                 210A= 7 B= 6 aluop=1110 binary alures=00000000 alures=  0 OF=0, ZF=1
